id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount,is_transcript_available,transcript
K-EpKTgHhh0,Diluted Handwash #Comedy #Shorts,,2023-09-29T07:46:33Z,,23,en,en-IN,https://i.ytimg.com/vi/K-EpKTgHhh0/default.jpg,https://i.ytimg.com/vi/K-EpKTgHhh0/hqdefault.jpg,PT53S,25177,1847,36,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,do you also dilute liquid hand wash by pouring water into the bottle don't tell me will I use shampoo also but we are not putting the hair in our mouth in many places I don't realize the hand wash has been diluted and apply the normal pressure on the pump and instead of the liquid oozing out onto my fingers and palm it shoots out onto my wrist and arm why is everybody remixing a scientific formula and making a Coke Studio Version out of it the only reason I can think of is because all the hand wash advertisements say it kills 99 of bacteria and many of us don't want to be so violent especially before eating like Exterminating entire communities forget the impact of bacteria what will be the impact of Bad Karma so we dilute the hand wash so it will not kill the bacteria but just scare it away but nobody understands the dangers of this because if you fall sick by eating food with hands which are barely cleaned by diluted hand wash nobody asked what hand wash did you use they will ask what did you eat
EdMvNkRrhXo,White Rice #Comedy #Shorts,,2024-04-06T05:44:19Z,,23,en,en-IN,https://i.ytimg.com/vi/EdMvNkRrhXo/default.jpg,https://i.ytimg.com/vi/EdMvNkRrhXo/hqdefault.jpg,PT44S,18071,993,28,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,white rice is under a constant online Onslaught it is being blamed for every disease disorder and discomfort for these disease mongers white rice is bad brown rice is better and black rice is best if the rice is white it cannot be right the color is the culprit for these anti- Rices going by their colored logic a gulab jamun is healthier than rasgula and a Kala jamun can cure diabetes given the propaganda in many recipes white rice is being replaced by rice that is brown and black so that it will get less fla from some internet quack whose only goal is to turn white rice from a staple to a snack I will never listen to any such crack because white rice is the basis in many a dish that makes my lips smack
6RCC8It_ZY0,Brand vs Bill #Comedy #Shorts,,2023-11-21T02:55:41Z,,23,en,en-IN,https://i.ytimg.com/vi/6RCC8It_ZY0/default.jpg,https://i.ytimg.com/vi/6RCC8It_ZY0/hqdefault.jpg,PT50S,17754,830,15,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,I have noticed many times when I make a purchase and get the receipt the brand name and the building name is quite different the more fancy and foreign the brand name the more local and Dy the building name will be this makes things very confusing when the month and debit and credit card statement come you have this bunch of unheard of companies taking money from your account and you don't even know who they are this will make it very easy for scamsters to P for money from your account and you'll assume oh it's one of those weird companies why don't companies just do it with the brand name and make their building name their brand name like many cities and countries do or they could be like wedding cards where they give the good name and below it in Brackets will be the pet name of the Bride or the groom or maybe companies do it like this because customers like the ambiguity so they can creatively explain their expenses to their spouses
i31fVwI9cIg,Airport Taxi #Comedy #Shorts,,2023-09-19T07:47:28Z,,23,en,en-IN,https://i.ytimg.com/vi/i31fVwI9cIg/default.jpg,https://i.ytimg.com/vi/i31fVwI9cIg/hqdefault.jpg,PT58S,42625,2239,32,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,when you exit many airports drivers around you shouting taxi taxi taxi most passengers avoid them to book an Uber but I checked the prices on Uber and start negotiating with these guys great way to get a good bargain and I also do this because I don't want to be fully dependent on apps to tell me how good a driver is I don't want to lose my soft skills of looking at a driver and guessing how clean the car is and how well they drive you guys judge a driver based on the number of stars next to their name I judge a driver based on the number of good car stains next to them and one secret about these guys they're all not professional cabbies most of them are domestic or office drivers who came to the airport to drop their SAR or Madam and on the return Journey pick up a passenger to earn some extra money so if you are lucky instead of the typical indica or Swift you could go home in a Fortuner or could get kidnapped in a qualis but then hey you win some you lose some my advice to all you rich guys please pay your driver's will otherwise psychran could be sitting in your skoda
PnSIeAT3_lM,Cadbury Silk #comedyshorts,,2025-07-10T06:00:26Z,,23,en,en-IN,https://i.ytimg.com/vi/PnSIeAT3_lM/default.jpg,https://i.ytimg.com/vi/PnSIeAT3_lM/hqdefault.jpg,PT1M12S,13834,592,10,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,Just nowadays all these lint and all have come right in the market which melt in your mouths melt in we don't know that we grew up with five star as you said five star which forget melt in the mouth it won't even melt in a microwave [Applause] like you bite into five star right it sticks to all your teeth and you can keep on licking onto it entire day full pisa vasul for you and the dentist but nowadays all these melt in the mouth chocolates when these foreign chocolate start I think Cadbury also started competition and launched a Cadbury Silk. You seen the Cadbury Silk? All the guys are now excited because that's the most successful advertisement men have ever seen in this country after Lil is the biggest successful advertisement. You all see the Cadbury silk ad. The joy in the guy's faces as I'm giving them Cadbury only where that hot if you haven't seen it Janzi like a hot model comes onto the TV and she eats Cadbury silk smeared all her lips and fingers. It's just melting. She's eating like this. Who eats chocolate like that? What is it? Cadbury curry or curd rice? [Applause]
IigZrLQXtOw,"Doctors, Comedian & Artificial Intelligence #Comedy #Shorts",,2025-03-31T04:55:33Z,"Comedy, Doctors, artificial intelligence",23,en,en-IN,https://i.ytimg.com/vi/IigZrLQXtOw/default.jpg,https://i.ytimg.com/vi/IigZrLQXtOw/hqdefault.jpg,PT1M49S,14351,584,16,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,"watching you from 2017. Oh, God. Sir. Oh, very good. At least I hope your life has progressed. I'm still here. But I'm hoping because I'm worried you know when the two radiologists in the room right like because I I'm because right now the world is changing. Okay, the world is changing. Everybody's scaring us about artificial intelligence. Comedians also they're telling you know writers you know comedy is going to be replaced by artificial intelligence. But I realize if radiologists are able to afford tickets to my [Laughter] show, we still are safe. Cardiologists have a long way like they are the first at risk. Forget like earlier you know come on doctors come on they are the last to be replaced by artificial intelligence. But yesterday I got the scare of my life when Bill Gates Bill Gates told that in 10 years artificial intelligence is going to replace doctors. I can imagine Elon Musk saying something like this. But Bill Gates, this guy is at an age where he requires doctors. He's also saying, ""Oh god, like but I'm worried, man. I'm worried."" Like, are you guys worried about artificial intelligence? I'm worried about it, but at least I want to do as many shows as possible before artificial intelligence comes and takes over. And uh but I did perform I did perform for the Microsoft artificial intelligence team. I was very happy. Okay, they are inviting me. So artificial intelligence is still some way away from replacing a comedian. I went there and I performed and they were looking at me seriously. They were typing something and [Applause] all. They bought me as a test case. They were checking whether their artificial intelligence is matching my levels of comedy. That was last year. This year they did not invite me. Their own intelligence did"
Cj77QwepbCo,Credit Vs Debit Cards #Comedy #Shorts,,2024-05-11T10:47:02Z,,23,en,en-IN,https://i.ytimg.com/vi/Cj77QwepbCo/default.jpg,https://i.ytimg.com/vi/Cj77QwepbCo/hqdefault.jpg,PT1M1S,18966,819,21,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,credit card users are celebrated debit card users are tolerated credit card users get points privileges perks benefits bonuses statuses rewards rebates waivers debit card users get contempt disdain and disgust at every Lounge Hotel and Shop oh you're using money you already have how can you buy something new with such taale smelly musty money earn and spend is a fault spend and earn is the default until you default and then there are Power Credit Card users who maintain 50 60 different credit cards and constantly calculating which combination of cards will give them better cash back miles points and more importantly bragging points everybody has been made addicted to this financial video game thinking they're getting a better deal without realizing nobody can beat the bank if things go bad and or and you want to escape everything by jumping into the lake the bank will pull you by your hair because with all the plastic in your wallet you will float
jlYeZG_ccw8,Bed Storage #Comedy #Shorts,,2023-10-25T07:13:33Z,,23,en,en-IN,https://i.ytimg.com/vi/jlYeZG_ccw8/default.jpg,https://i.ytimg.com/vi/jlYeZG_ccw8/hqdefault.jpg,PT54S,70678,2637,43,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,at some point Carpenters figured out people put a lot of things under the bed not just Secrets but stuff so they invented the bed come storage unit which has been a Smash Hit in middle class households initially the bed would come with a shelf now the Shelf comes with a bed which is quite confusing for wasu and fanga Consultants is it a shelf is it a bed it's a shed people use it as a cloud storage unit for the household they usually put sweaters woin mittens and monkey caps in it for seasonal retrial which is a major Collective Activity one Sunday morning one person will lift the mattress another person will hold the bed door and a couple of people will dive into it and retrieve these forgotten items but one good thing about these bedc storage units is that they have made the bed strong sturdy and stable unlike the old creaky CS which are quite annoying if you ever lived in a shared apartment with a single brick wall
v44TJAm8Frg,Mosquito Problem #StandupComedy #Shorts,,2024-11-06T08:20:44Z,,23,en,en-IN,https://i.ytimg.com/vi/v44TJAm8Frg/default.jpg,https://i.ytimg.com/vi/v44TJAm8Frg/hqdefault.jpg,PT1M1S,20247,937,15,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,yeah mosquito is the most dangerous animal it kills 1 million humans 1 million humans across the world every year it's so sad right we think we are the people who are ruling this planet humans but mosquitoes kill us and I'm sure there are aliens and all observing Earth they don't give us any value mosquitoes kill them man we need not you know when when dinosaurs were ruling the Earth nobody could kill them they were the Apex that's all nothing could kill them that's when they send the asteroids because nothing can kill the dinosaurs now nothing no asteroid is coming to us because they know mosquitoes can handle these idiots mosquitoes can handle these idiots only once we defeat the mosquitoes then will the aliens and asteroids will come that is the reason why Bill Gates is trying to kill mosquitoes that whole M malaria eradication program B because he eventually wants aliens it's not Elon Musk it's Bill Gates is going to bring aliens to us he's the smarter guy here [Music]
W2vngPMvjaA,Aunt’s Cooking #Comedy #Shorts,,2024-06-08T06:10:41Z,,23,en,en-IN,https://i.ytimg.com/vi/W2vngPMvjaA/default.jpg,https://i.ytimg.com/vi/W2vngPMvjaA/hqdefault.jpg,PT59S,20367,1104,32,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,in every extended family there will be one aunt who's an excellent cook her dishes are a big hit at every family get together the kids love visiting her place for all the specials she makes the moms are slightly envious of the aunt's reputation in the drive back home your mom will tell you she just made all those specials because the kids are coming they don't eat like that every day at home but next Sunday your mom will put some extra eord to make something really special and ask you isn't this better than what your aunt made and I made this without oil it's healthy also now you have to pacify your mom tell her mom you cook really well all my school friends love the lunch you pack never make your mom angry but never stop praising your aunt in front of her because that's what keeps the mom on her toes the strategy is to divide and relish but one public advisory this strategy only works in comparing aunts and moms never try this with grand moms and moms and especially moms and wives it's known to have severely adverse reactions
zNLOYUqDgEs,Delhi #Comedy #Shorts,,2024-08-16T06:50:27Z,,23,en,en-IN,https://i.ytimg.com/vi/zNLOYUqDgEs/default.jpg,https://i.ytimg.com/vi/zNLOYUqDgEs/hqdefault.jpg,PT42S,19005,,10,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,so I went to Delhi and I went to Delhi not just to perform I want to see all the important places in Delhi I want to see all the important places in Delhi like rashti ban kutub Minar India Gate Red Fort not just as a tourist but as Thanksgiving I want to thank all these monuments for all the marks they gave me in social studies map pointing exam you all remember in those exams they used to ask where is kupar where is as ban it's so easy to point to Delhi it's right there in the neck of India it's very easy I think in Delhi is India's Adam apple that explains all the excess testosterone in that City
Sdufzg-l4es,Quiet Area #Comedy #Shorts,,2023-12-26T13:50:27Z,,23,en,en-IN,https://i.ytimg.com/vi/Sdufzg-l4es/default.jpg,https://i.ytimg.com/vi/Sdufzg-l4es/hqdefault.jpg,PT51S,21797,1144,22,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,many people say they want to live in a quiet area away from the hustle and bustle but I think such an area will be far away from all the amenities and Facilities like a railway station a bus stand the panipuri guy and when you get down from the metro station and take an auto Richa to your quiet area the auto guy will start getting loud oh this is too far this is too deep inside I won't get a return fair you have to pay me extra and when you live in a quiet area every sound you make gets Amplified your neighbor will know what is cooking in your house based on your cook cooker whizzles and if there are no cooker whizzles she will imagine what's cooking in your relationship and I think only ghosts and horror movies like living in quiet areas so they can use every leaking tap and creaking door to magnify the tension I don't want to live in a quiet area I want to live in a quiet an area if only I can afford
